0.547174,101.437917,Jl. Yos Sudarso,58,3.68,1.5,Beton,Bagus,Selatan,Sungai
0.546789,101.438066,Jl. Yos Sudarso,43,3.7,1.5,Beton,Bagus,Selatan,Sungai
0.546741,101.438095,Jl. Yos Sudarso,13,3.7,1,Beton,Bagus,Selatan,Sungai
0.546072,101.438283,Jl. Yos Sudarso,48,3.7,1.5,Beton,Bagus,Selatan,Sungai
0.545312,101.438561,Jl. Yos Sudarso,86,3.7,1.5,Beton,Bagus,Selatan,Sungai
0.544537,101.438833,Jl. Yos Sudarso,100,3.7,1.5,Beton,Bagus,Selatan,Sungai
0.543596,101.439101,Jl. Yos Sudarso,100,3.7,1.5,Beton,Bagus,Selatan,Sungai
0.55031,101.436456,Jl. Yossudarso Gg. Gaharu,,0.35,0.75,Beton,Bagus,Timur,Sungai
0.550638,101.437225,Jl. Yossudarso Gg. Gaharu,81,0.35,0.75,Beton,Bagus,Timur,Sungai
0.549915,101.437521,Jl. Yossudarso Gg. Gaharu,84,0.35,0.75,Beton,Bagus,Timur,Sungai
0.550082,101.437398,Jl. Yossudarso Gg. Gaharu,0,1.5,0.75,Beton,Rusak,Selatan,Sungai
0.549896,101.437482,Jl. Yossudarso Gg. Gaharu,15,0.83,0.83,Beton,Bagus,Selatan,Sungai
0.549622,101.436938,Jl. Yos Sudarso Gg. Cendana,0,0.8,0.15,Beton,Bagus,Timur,Sungai
0.549668,101.436918,Jl. Yos Sudarso Gg. Cendana,0,0.8,0.15,Beton,Bagus,Timur,Sungai
0.54984,101.437502,Jl. Yos Sudarso Gg. Cendana,100,0.8,0.15,Beton,Bagus,Timur,Sungai
0.549901,101.437481,Jl. Yos Sudarso Gg. Cendana,100,0.8,0.15,Beton,Sedang,Timur,Sungai
0.550206,101.438392,Jl. Yos Sudarso Gg. Cendana,105,0.8,0.15,Beton,Sedang,Timur,Sungai
0.55025,101.438372,Jl. Yos Sudarso Gg. Cendana,105,0.8,0.15,Beton,Bagus,Timur,Sungai
0.550383,101.438828,Jl. Yos Sudarso Gg. Cendana,57,0.92,0.27,Alami,Bagus,Timur,Sungai
0.550431,101.438813,Jl. Yos Sudarso Gg. Cendana,57,1.3,0.27,Alami,Bagus,Timur,Sungai
0.548868,101.438283,Jl. Jaya Cendana,0,0.7,0.68,Beton,Bagus,Timur,Sungai
0.548981,101.438684,Jl. Jaya Cendana,21,0.7,0.7,Beton,Bagus,Timur,Sungai
0.549037,101.438917,Jl. Jaya Cendana,13,0.7,0.7,Beton,Bagus,Timur,Sungai
0.54905,101.438923,Jl. Jaya Cendana,120,0.7,0.7,Beton,Bagus,Timur,Sungai
0.549041,101.438956,Jl. Jaya Cendana,280,0.7,0.7,Beton,Bagus,Timur,Sungai
0.549062,101.439146,Jl. Jaya Cendana,0,0.7,0.18,Beton,Bagus,Timur,Sungai
0.547824,101.437711,"Jl. Yos Sudarso, GG. Jaya",100,0.82,0.18,Beton,Bagus,Barat,Paret Besar
0.548115,101.438586,"Jl. Yos Sudarso, GG. Jaya",68,0.82,0.18,Beton,Bagus,Barat,Paret Besar
0.548293,101.439177,"Jl. Yos Sudarso, GG. Jaya",70,1,0.82,Beton,Bagus,Barat,Paret Besar
0.548344,101.439943,"Jl. Yos Sudarso, GG. Jaya",129,1.3,0.82,Beton,Bagus,Barat,Paret Besar
0.548488,101.441114,"Jl. Yos Sudarso, GG. Jaya",0,0,0.82,Beton,Sedang,Barat,Paret Besar
0.547879,101.437696,"Jl. Yos Sudarso, GG. Jaya",100,0.82,0.18,Beton,Bagus,Barat,Paret Besar
0.548156,101.438573,"Jl. Yos Sudarso, GG. Jaya",78,1.25,0.12,Beton,Bagus,Barat,Paret Besar
0.548376,101.439225,"Jl. Yos Sudarso, GG. Jaya",78,0.85,0.15,Beton,Bagus,Barat,Paret Besar
0.548378,101.43994,"Jl. Yos Sudarso, GG. Jaya",120,0.85,0.15,Beton,Bagus,Barat,Paret Besar
0.548531,101.441104,"Jl. Yos Sudarso, GG. Jaya",0,0.85,0.15,Beton,Bagus,Barat,Paret Besar
0.548363,101.43922,"Jl. Yos Sudarso, GG. Jaya",24,0.32,0.08,Beton,Bagus,Barat,Paret Besar
0.548582,101.439189,"Jl. Yos Sudarso, GG. Jaya",66,0.32,0.08,Beton,Bagus,Selatan,Paret Besar
0.549163,101.43918,"Jl. Yos Sudarso, GG. Jaya",3.52,0.32,0.08,Beton,Bagus,Selatan,Paret Besar
0.549206,101.439197,"Jl. Yos Sudarso, GG. Jaya",3.4,0.32,0.08,Beton,Bagus,Selatan,Paret Besar
0.549213,101.439218,"Jl. Yos Sudarso, GG. Jaya",60,0.32,0.08,Beton,Bagus,Selatan,Paret Besar
0.549122,101.439753,"Jl. Yos Sudarso, GG. Jaya",149,0.32,0.08,Beton,Bagus,Barat,Paret Besar
0.548961,101.441095,"Jl. Yos Sudarso, GG. Jaya",0,0.7,0.08,Beton,Bagus,Barat,Paret Besar
0.548351,101.439186,"Jl. Yos Sudarso, GG. Jaya",25,0.22,0.12,Beton,Bagus,Barat,Paret Besar
0.548577,101.439151,"Jl. Yos Sudarso, GG. Jaya",0,0.22,0.12,Beton,Bagus,Selatan,Paret Besar
0.550276,101.441141,"Jl. Yos Sudarso, GG. Jaya",122,1.5,0.25,Beton,Bagus,Selatan,Paret Besar
0.549156,101.44114,"Jl. Yos Sudarso, GG. Jaya",100,1.5,0.07,Beton,Bagus,Selatan,Paret Besar
0.548257,101.441164,"Jl. Yos Sudarso, GG. Jaya",68,1.5,0.07,Beton,Bagus,Selatan,Paret Besar
0.54764,101.441182,"Jl. Yos Sudarso, GG. Jaya",0,1.5,0.07,Beton,Bagus,Selatan,Paret Besar
0.55018,101.441072,"Jl. Yos Sudarso, GG. Jaya",114,1.5,0.07,Beton,Bagus,Selatan,Paret Besar
0.54915,101.441081,"Jl. Yos Sudarso, GG. Jaya",0,1.5,0.07,Beton,Bagus,Selatan,Paret Besar
